,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
556,Montgomery,Injury Crash,2025-05-04 09:15:00,1,Driver,Single Vehicle,Rain,Daylight,Not Suspected,"Other Fixed Object (Wall, Building, Tunnel, Etc.)",39.20281504,-77.25466665,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Right,No Defects,Not Divided,Local Route,Great Park Cir
558,Montgomery,Property Damage Crash,2025-05-04 04:06:00,1,Driver,Single Vehicle,Rain,Dark - Lighted,Alcohol,"Other Post, Pole, Or Support",39.0252162,-77.12477647,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Parking Lot Cut Thru Cut
559,Montgomery,Injury Crash,2025-05-04 03:15:00,"1, 2",Unknown,Front To Front,Clear,Dark - Lighted,Not Suspected,Parked Vehicle,39.027085,-77.05419117,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Finch St
560,Montgomery,Injury Crash,2025-05-04 02:15:00,2,Driver,Single Vehicle,Rain,Dark - Not Lighted,Not Suspected,Tree (Standing),39.23764283,-77.35971933,No,Downhill,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Old Hundred Rd
561,Montgomery,Property Damage Crash,2025-05-04 00:13:00,3,Driver,Other,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.08115953,-76.94621197,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Undisclosed
562,Montgomery,Property Damage Crash,2025-05-03 19:45:00,"2, 3",Driver,Angle,Cloudy,Dusk,Not Suspected,Motor Vehicle In Transport,39.1934616,-77.27007067,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Father Hurley Blvd (Nb/L)
563,Montgomery,Injury Crash,2025-05-03 18:52:00,3,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.03838567,-76.99866733,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Columbia Pike (Sb/L)
564,Montgomery,Property Damage Crash,2025-05-03 18:10:00,4,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.02138319,-76.97691153,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave
565,Gaithersburg,Injury Crash,2025-05-03 17:09:00,2,Unknown,Other,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.11643528,-77.19919409,No,Level,Dry,No/Unknown/Miscellaneous Control,Crossover-Related,Non-Intersection,Curve Left,No Defects,Not Divided,Municipality Route,Washingtonian Blvd
566,Montgomery,Property Damage Crash,2025-05-03 16:45:00,5,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.08308832,-77.07727629,No,Level,Dry,Traffic Signals,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",Maryland (State) Route,Georgia Ave
567,Montgomery,Property Damage Crash,2025-05-03 15:40:00,2,Unknown,"Sideswipe, Opposite Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.12230578,-76.98861674,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Old Md 198
568,Montgomery,Injury Crash,2025-05-03 15:38:00,2,Driver,Other,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.18519836,-77.15069038,No,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Fieldcrest Rd
569,Rockville,Property Damage Crash,2025-05-03 15:21:00,3,Unknown,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.07874908,-77.14201758,No,Level,Dry,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike (Sb/L)
570,Montgomery,Property Damage Crash,2025-05-03 14:59:00,4,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.12858806,-77.1679724,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Shady Grove Rd
571,Montgomery,Property Damage Crash,2025-05-03 14:39:00,"3, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10531692,-77.19659947,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Key West Ave
572,Takoma,Property Damage Crash,2025-05-03 14:30:00,4,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.98323113,-76.98831449,Unknown,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave
573,Gaithersburg,Injury Crash,2025-05-03 12:40:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14642493,-77.2045747,No,Level,Dry,Other,Through Roadway,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",Maryland (State) Route,Undisclosed
576,Montgomery,Property Damage Crash,2025-05-03 10:18:00,1,Driver,Single Vehicle,Cloudy,Daylight,Not Suspected,"Other Post, Pole, Or Support",39.178946,-77.10262133,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,Not Divided,Maryland (State) Route,Undisclosed
577,Montgomery,Property Damage Crash,2025-05-03 09:00:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.01978241,-77.13438751,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Fernwood Rd
578,Gaithersburg,Injury Crash,2025-05-03 08:35:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15517033,-77.208454,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Montgomery Village Ave (Sb/L)
579,Montgomery,Property Damage Crash,2025-05-03 08:13:00,1,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14194396,-77.13865461,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Bicycle Route,Undisclosed
580,Montgomery,Injury Crash,2025-05-03 08:00:00,"1, 3",Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15549671,-77.27211798,No,"Downhill, Level, Uphill",Dry,Signs,Through Roadway,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,County Route,Dairymaid Dr
581,Montgomery,Property Damage Crash,2025-05-03 07:35:00,2,Unknown,Other,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0857113,-76.95062704,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Old Columbia Pike
583,Montgomery,Injury Crash,2025-05-02 19:27:00,4,Unknown,Other,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.09066567,-77.0462445,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
584,Montgomery,Property Damage Crash,2025-05-02 18:50:00,2,Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.98798167,-77.09958617,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Maryland (State) Route,Old Georgetown Rd
585,Montgomery,Injury Crash,2025-05-02 18:31:00,1,Driver,Single Vehicle,Clear,Daylight,Alcohol,Pedalcycle,39.03381721,-77.07540322,Yes,Level,Dry,Human/Pedestrian Control,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,Maryland (State) Route,Connecticut Ave (Sb/L)
586,Montgomery,Injury Crash,2025-05-02 18:26:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Pedestrian,39.05104758,-77.11639779,No,Level,Dry,Signs,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Trade St
587,Montgomery,Property Damage Crash,2025-05-02 18:10:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0374817,-77.05983048,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd W
588,Montgomery,Property Damage Crash,2025-05-02 17:30:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.07308649,-77.00742039,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Randolph Rd
589,Montgomery,Injury Crash,2025-05-02 17:17:00,2,Unknown,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.02173799,-77.20761133,No,"Hillcrest, Uphill",Wet,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",Maryland (State) Route,Falls Rd
590,Takoma,Property Damage Crash,2025-05-02 17:07:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.97585238,-76.9937357,No,Level,Dry,No/Unknown/Miscellaneous Control,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Municipality Route,Auburn Ave
591,Montgomery,Injury Crash,2025-05-02 16:42:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14744658,-77.16918984,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Midcounty Hwy
592,Montgomery,Property Damage Crash,2025-05-02 16:40:00,4,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.00016292,-77.07679105,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Connecticut Ave
593,Montgomery,Property Damage Crash,2025-05-02 16:37:00,3,Driver,Angle,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.0309377,-76.9840263,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Crossover-Related,Non-Intersection,"Curve Right, Straight",No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave (Sb/L)
594,Montgomery,Injury Crash,2025-05-02 16:10:00,2,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Overturn/Rollover,38.99232967,-77.228567,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,"Divided, Depressed Median",County Route,Macarthur Blvd
595,Montgomery,Property Damage Crash,2025-05-02 16:09:00,1,Unknown,"Sideswipe, Opposite Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9725555,-77.13428433,No,"Downhill, Uphill",Wet,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,Kenhowe Dr
596,Takoma,Property Damage Crash,2025-05-02 15:57:00,"1, 2",Unknown,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.98148893,-76.98885772,No,"Downhill, Level",Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Divided, Raised Median (Curbed)",Municipality Route,Erskine St
598,Gaithersburg,Property Damage Crash,2025-05-02 15:05:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.14019467,-77.22171483,No,Level,Dry,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Quince Orchard Rd (Sb/L)
599,Montgomery,Injury Crash,2025-05-02 14:25:00,3,Unknown,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05662444,-77.08172225,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Randolph Rd
600,Montgomery,Property Damage Crash,2025-05-02 14:25:00,3,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9851824,-77.09710111,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,Not Divided,County Route,Undisclosed
601,Montgomery,Property Damage Crash,2025-05-02 12:30:00,4,Driver,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,38.98415727,-77.09413325,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Local Route,Bethesda Metro Ctr
602,Rockville,Property Damage Crash,2025-05-02 12:26:00,"1, 2",Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Parked Vehicle,39.07538113,-77.14631582,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,Not Divided,Municipality Route,Crothers La
603,Montgomery,Property Damage Crash,2025-05-02 11:10:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00015049,-77.10993223,No,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Old Georgetown Rd (Sb/L)
604,Rockville,Injury Crash,2025-05-02 10:46:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.1162226,-77.16980413,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Other Public Roadway,Elmcroft Blvd
605,Mcpark,Property Damage Crash,2025-05-02 09:38:00,2,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.98731536,-77.02660329,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Curve Right,No Defects,"Divided, Raised Median (Curbed)",Us (State),Undisclosed
606,Montgomery,Injury Crash,2025-05-02 09:20:00,2,Driver,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.07646997,-76.97046132,No,Downhill,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Serpentine Way
607,Montgomery,Property Damage Crash,2025-05-02 08:00:00,3,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Traffic Sign Support,38.9998479,-77.0276519,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Cameron St
608,Montgomery,Property Damage Crash,2025-05-02 07:03:00,3,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04998391,-77.07167111,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Veirs Mill Rd (Wb/L)
609,Montgomery,Injury Crash,2025-05-02 05:35:00,"1, 3",Unknown,Angle,Cloudy,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.08766696,-77.0794508,No,Level,Dry,Traffic Signals,Crossover-Related,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Georgia Ave
610,Montgomery,Injury Crash,2025-05-02 04:00:00,2,Driver,Single Vehicle,Clear,Dark - Lighted,Not Suspected,Tree (Standing),39.21916849,-77.24294565,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Curve Right,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Snowden Farm Pkw (Wb/L)Y
612,Montgomery,Property Damage Crash,2025-05-01 18:29:00,4,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9857002,-77.09706199,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
613,Montgomery,Property Damage Crash,2025-05-01 18:20:00,2,Driver,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.98985846,-77.01070318,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Piney Branch Rd
614,Montgomery,Injury Crash,2025-05-01 18:01:00,3,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Pedestrian,39.00353059,-76.99634808,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd E
615,Montgomery,Property Damage Crash,2025-05-01 17:15:00,5,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.10957501,-77.07604472,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Georgia Ave (Sb/L)
616,Montgomery,Property Damage Crash,2025-05-01 16:20:00,4,Driver,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.00690394,-77.09741196,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,Loose Surface Material,Not Divided,Maryland (State) Route,Rockville Pike
617,Montgomery,Property Damage Crash,2025-05-01 16:08:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.01350476,-77.09907054,Unknown,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike
618,Montgomery,Property Damage Crash,2025-05-01 16:05:00,4,Unknown,Front To Rear,Clear,Daylight,Unknown,Motor Vehicle In Transport,38.99614242,-77.07671301,Unknown,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Manor Rd
619,Montgomery,Property Damage Crash,2025-05-01 15:50:00,2,Driver,Front To Rear,Clear,Daylight,Other,Motor Vehicle In Transport,39.15935284,-77.19210291,Unknown,Downhill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,County Route,Goshen Rd
620,Montgomery,Property Damage Crash,2025-05-01 15:31:00,3,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Utility Pole/Light Support,39.16813267,-77.26701933,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Great Seneca Hwy (Sb/L)
621,Montgomery,Property Damage Crash,2025-05-01 14:39:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.088725,-76.94351517,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Columbia Pike
622,Montgomery,Property Damage Crash,2025-05-01 14:37:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.05341343,-77.10936295,No,Level,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Not Divided, With A Continuous Left-Turn Lane",County Route,Randolph Rd
623,Montgomery,Property Damage Crash,2025-05-01 14:05:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.3020556,-77.19450369,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Gue Rd
624,Montgomery,Injury Crash,2025-05-01 13:59:00,1,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.1610606,-77.25063954,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,"Curve Left, Curve Right",No Defects,Not Divided,County Route,Waring Station Rd
625,Montgomery,Property Damage Crash,2025-05-01 13:00:00,3,Driver,Rear To Side,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.11155808,-76.92913133,No,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Sandy Spring Rd
626,Montgomery,Property Damage Crash,2025-05-01 12:31:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10252271,-77.22074741,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Undisclosed
627,Montgomery,Property Damage Crash,2025-05-01 10:43:00,5,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9998168,-77.07712389,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Jones Bridge Rd
628,Montgomery,Property Damage Crash,2025-05-01 10:42:00,2,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0672145,-77.10180733,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Center Cut Thru Cut
630,Montgomery,Property Damage Crash,2025-05-01 09:27:00,2,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99298746,-77.05413481,No,Downhill,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,East West Hwy (Wb/L)
631,Montgomery,Property Damage Crash,2025-05-01 08:35:00,2,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,38.99594801,-77.10958911,No,Level,Dry,Signs,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Roosevelt St
632,Rockville,Property Damage Crash,2025-05-01 07:54:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,39.06703834,-77.16172338,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Bicycle Route,Undisclosed
633,Montgomery,Injury Crash,2025-05-01 06:25:00,1,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Alcohol,Parked Vehicle,39.059789,-77.0913245,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Furman Rd
634,Montgomery,Property Damage Crash,2025-05-01 01:30:00,3,Unknown,Angle,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.00001294,-76.9907245,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Other Public Roadway,Carroll Ave
636,Montgomery,Property Damage Crash,2025-04-30 23:24:00,3,Unknown,Single Vehicle,Clear,Dark - Lighted,Unknown,Curb,38.98922197,-77.09516749,Yes,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Wisconsin Ave
637,Rockville,Property Damage Crash,2025-04-30 21:30:00,2,Driver,Front To Rear,Clear,Dark - Lighted,Alcohol,Parked Vehicle,39.08963494,-77.13622754,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,First St
638,Mcpark,Injury Crash,2025-04-30 20:41:00,"2, 4",Driver,Front To Front,Clear,Dark - Lighted,Unknown,Motor Vehicle In Transport,39.00813002,-77.08005678,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Government Route,Beach Dr
639,Montgomery,Property Damage Crash,2025-04-30 20:23:00,3,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.08736401,-76.94484957,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Us (State),Columbia Pike (Sb/L)
641,Montgomery,Injury Crash,2025-04-30 19:30:00,2,Nonmotorist,Single Vehicle,Clear,Daylight,Not Suspected,Other Non-Motorist,39.09875976,-77.21973191,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Local Route,Bounty Cove Ct
642,Montgomery,Injury Crash,2025-04-30 19:15:00,4,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.08750267,-77.15026783,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Hungerford Dr (Sb/L)
643,Montgomery,Injury Crash,2025-04-30 18:35:00,1,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Pedalcycle,38.99319903,-77.11894625,No,Level,Dry,Signs,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Bradmoor Dr
644,Rockville,Property Damage Crash,2025-04-30 18:20:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.05317026,-77.15279558,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,Not Divided,Ramp,Ramp 4 Fr Is 270 Nb To Montrose Rd Eb
645,Montgomery,Injury Crash,2025-04-30 17:58:00,4,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0134341,-77.0418383,No,Level,Dry,Traffic Signals,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Georgia Ave
646,Montgomery,Property Damage Crash,2025-04-30 17:45:00,8,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.04199438,-77.11032951,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Security La
647,Montgomery,Injury Crash,2025-04-30 17:39:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.03057514,-77.06398387,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Jennings Rd
648,Montgomery,Injury Crash,2025-04-30 17:01:00,2,Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.169105,-77.260695,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Wisteria Dr
