,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
71,Gaithersburg,Injury Crash,2025-05-22 18:55:00,2,Unknown,Angle,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.11706984,-77.20107512,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Local Route,Rio Blvd
72,Montgomery,Property Damage Crash,2025-05-22 18:31:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.10654636,-77.15234667,No,Level,Dry,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Crabbs Branch Way (Nb/L)
73,Montgomery,Injury Crash,2025-05-22 18:17:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.13824452,-77.15354933,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Shady Grove Rd
74,Montgomery,Property Damage Crash,2025-05-22 17:20:00,3,Driver,Front To Rear,Rain,Daylight,Unknown,Motor Vehicle In Transport,39.03986399,-76.99081125,Unknown,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave (Sb/L)
75,Montgomery,Property Damage Crash,2025-05-22 16:49:00,3,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.02325892,-77.15642767,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Democracy Blvd
77,Montgomery,Injury Crash,2025-05-22 16:36:00,"23, 3",Driver,Front To Front,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.16669117,-77.27070737,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Dawson Farm Rd
78,Gaithersburg,Property Damage Crash,2025-05-22 16:30:00,"1, 2",Driver,Rear To Side,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.14958359,-77.20961843,No,"Level, Uphill",Dry,Other,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Municipality Route,Perry Pkwy
80,Montgomery,Property Damage Crash,2025-05-22 15:42:00,"1, 2",Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.1849505,-77.17601633,No,Level,Dry,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,East Village Ave
81,Rockville,Property Damage Crash,2025-05-22 15:03:00,1,Driver,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Parked Vehicle,39.10089365,-77.16513778,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Auburn Ave
82,Montgomery,Injury Crash,2025-05-22 14:03:00,4,Driver,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.03495716,-77.04931457,No,Level,Wet,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Georgia Ave
83,Montgomery,Property Damage Crash,2025-05-22 13:06:00,1,Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.07633722,-77.22197928,No,Level,Wet,Other,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Piney Meetinghouse Rd (Sb/L)
84,Montgomery,Property Damage Crash,2025-05-22 13:00:00,"2, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.18109,-77.26228,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Germantown Rd
85,Montgomery,Property Damage Crash,2025-05-22 12:04:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0257878,-76.98080538,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,New Hampshire Ave (Sb/L)
86,Montgomery,Property Damage Crash,2025-05-22 11:29:00,2,Driver,"Sideswipe, Same Direction",Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.06995578,-77.16984434,No,Level,Wet,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Bicycle Route,Undisclosed
88,Montgomery,Injury Crash,2025-05-22 09:57:00,1,Unknown,Front To Front,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.12852874,-77.34314531,No,Level,Wet,No/Unknown/Miscellaneous Control,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
89,Montgomery,Injury Crash,2025-05-22 09:56:00,"1, 2",Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.04748917,-77.10927767,No,Level,Wet,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Marinelli Rd
90,Montgomery,Property Damage Crash,2025-05-22 09:18:00,7,Unknown,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.10145033,-77.217381,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Darnestown Rd
91,Gaithersburg,Property Damage Crash,2025-05-22 09:00:00,5,Unknown,Rear To Side,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.159212,-77.21904083,No,Level,Wet,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Frederick Rd
92,Rockville,Injury Crash,2025-05-22 08:40:00,6,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.09085916,-77.17916259,No,Level,Wet,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,W Montgomery Ave (Wb/L)
94,Montgomery,Property Damage Crash,2025-05-22 07:49:00,1,Driver,Other,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.2524235,-77.13914367,No,Level,Wet,Other,Intersection Or Related,Angled/Skewed,Straight,No Defects,Not Divided,Maryland (State) Route,Undisclosed
95,Montgomery,Property Damage Crash,2025-05-22 07:45:00,2,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,38.96344533,-77.10180267,No,Level,Wet,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Other Public Roadway,Butler Rd
96,Montgomery,Injury Crash,2025-05-22 05:25:00,"3, 4",Driver,Other,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.17687467,-77.27002638,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",County Route,Wisteria Dr
97,Montgomery,Injury Crash,2025-05-21 20:27:00,2,Driver,Angle,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.18166167,-77.23191333,No,Level,Wet,Other,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Middlebrook Rd (Wb/L)
99,Montgomery,Property Damage Crash,2025-05-21 19:33:00,1,Driver,Single Vehicle,Rain,Daylight,Not Suspected,"Other Post, Pole, Or Support",38.99705078,-77.02203676,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,Holes Ruts Etc,"Divided, Raised Median (Curbed)",Maryland (State) Route,Wayne Ave
100,Montgomery,Injury Crash,2025-05-21 17:35:00,3,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.01359983,-77.13097083,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Curve Left,No Defects,"Divided, Raised Median (Curbed)",Interstate (State),Capital Beltway (Wb/L)
101,Montgomery,Injury Crash,2025-05-21 16:53:00,3,Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.17513941,-77.25739738,No,Uphill,Wet,No/Unknown/Miscellaneous Control,Crossover-Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Ridgecrest Dr
102,Rockville,Property Damage Crash,2025-05-21 16:43:00,"0, 3",Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.08697239,-77.14976117,No,Level,Wet,Other,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Hungerford Dr (Sb/L)
104,Montgomery,Property Damage Crash,2025-05-21 16:21:00,3,Unknown,Front To Front,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.05942131,-77.05029422,No,Level,Wet,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Local Route,Glenmont Shopping Ctr Cut Thru Cut
105,Montgomery,Property Damage Crash,2025-05-21 16:00:00,4,Unknown,"Sideswipe, Same Direction",Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.00590454,-77.07351059,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Interstate (State),Capital Beltway
106,Montgomery,Injury Crash,2025-05-21 16:00:00,5,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.21022421,-77.23963283,No,Uphill,Wet,Traffic Signals,Acceleration/Deceleration Lane,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Brink Rd (Wb/L)
107,Montgomery,Property Damage Crash,2025-05-21 15:06:00,3,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.01119134,-77.01715702,No,Level,Wet,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Us (State),Colesville Rd
108,Montgomery,Property Damage Crash,2025-05-21 14:49:00,"1, 2",Unknown,Angle,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.16124639,-77.25072174,Unknown,"Level, Uphill",Wet,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Private Route,Undisclosed
109,Montgomery,Injury Crash,2025-05-21 14:10:00,3,Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.18009832,-77.2686115,No,"Downhill, Uphill",Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Middlebrook Rd (Wb/L)
112,Montgomery,Property Damage Crash,2025-05-21 13:42:00,2,Driver,Angle,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.03873465,-77.23470663,No,"Downhill, Uphill",Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Piney Meetinghouse Rd
113,Gaithersburg,Injury Crash,2025-05-21 10:30:00,0,Unknown,Single Vehicle,Rain,Daylight,Not Suspected,Pedestrian,39.15672888,-77.21458782,No,Level,Wet,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Christopher Ave
114,Montgomery,Property Damage Crash,2025-05-21 10:05:00,2,Driver,Front To Rear,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.05319317,-77.07712625,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Veirs Mill Rd (Wb/L)
115,Montgomery,Injury Crash,2025-05-21 08:28:00,"1, 2",Driver,Rear To Side,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,38.98832867,-77.075006,No,Level,Wet,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Maryland (State) Route,East West Hwy
116,Montgomery,Property Damage Crash,2025-05-21 07:50:00,"3, 4",Driver,Angle,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.06613277,-77.03442611,No,Level,Wet,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Randolph Rd
117,Montgomery,Property Damage Crash,2025-05-21 05:37:00,2,Unknown,Rear To Side,Rain,Daylight,Unknown,Motor Vehicle In Transport,38.98788828,-77.02333052,Unknown,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Philadelphia Ave (Wb/L)
118,Montgomery,Property Damage Crash,2025-05-21 03:10:00,"0, 1",Driver,Front To Front,Rain,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.09415083,-77.08941767,No,"Downhill, Uphill",Wet,Other,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
119,Rockville,Injury Crash,2025-05-20 23:24:00,1,Unknown,Front To Rear,Clear,Dark - Lighted,Unknown,Parked Vehicle,39.0887569,-77.1361305,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,First St
120,Montgomery,Injury Crash,2025-05-20 22:05:00,"4, 5",Driver,Other,Clear,Dark - Lighted,Not Suspected,Motor Vehicle In Transport,39.06258738,-76.96252539,Unknown,"Level, Uphill",Dry,Other,Crossover-Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Cherry Hill Rd (Nb/L)
121,Montgomery,Property Damage Crash,2025-05-20 20:46:00,2,Driver,Front To Rear,Clear,Dusk,Unknown,Motor Vehicle In Transport,39.06908983,-76.96171917,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Undisclosed
122,Montgomery,Injury Crash,2025-05-20 19:33:00,2,Unknown,Single Vehicle,Clear,Daylight,Unknown,Pedestrian,39.06317325,-77.0544775,Unknown,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Glenallan Ave (Wb/L)
123,Montgomery,Property Damage Crash,2025-05-20 18:38:00,3,Unknown,Other,Clear,Daylight,Unknown,Motor Vehicle In Transport,39.04821966,-77.10180663,Unknown,Downhill,Dry,No/Unknown/Miscellaneous Control,Driveway Access Or Related,Non-Intersection,Curve Left,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Nicholson La
124,Montgomery,Property Damage Crash,2025-05-20 17:39:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.09198144,-77.20864335,No,Level,Dry,Signs,Acceleration/Deceleration Lane,Non-Intersection,Curve Left,No Defects,"Divided, Raised Median (Curbed)",County Route,Molecular Dr
125,Montgomery,Injury Crash,2025-05-20 16:50:00,4,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.12889934,-77.16710169,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",County Route,Shady Grove Rd (Sb/L)
126,Montgomery,Property Damage Crash,2025-05-20 16:44:00,2,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.10491733,-77.12166967,No,Uphill,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Avery Rd
127,Montgomery,Property Damage Crash,2025-05-20 16:36:00,"3, 4",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.99238217,-77.16160183,No,Level,Dry,Traffic Signals,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,River Rd
128,Montgomery,Injury Crash,2025-05-20 16:13:00,1,Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.07734855,-77.0728073,No,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,County Route,Loyola St
129,Montgomery,Property Damage Crash,2025-05-20 16:09:00,3,Driver,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.02580501,-77.02011874,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,University Blvd W
